district,rooftopsNearby,closestRooftop,featuresCount,area
士林區B0889,2,5.762929202429099e-06,14,4.812965482066302e-07
士林區B0890,0,1.488150840458742e-05,5,2.528361360970583e-07
士林區B0896,0,2.7131820139556526e-05,13,4.407284863389473e-07
士林區B0907,0,1.700458241942642e-05,11,2.0459274823043878e-07
士林區B0921,0,2.4623470186694946e-05,13,1.1796184442673999e-07
士林區B0932,5,1.1314519319767117e-06,19,1.080828351133726e-07
士林區B0935,0,2.7721285735432776e-05,22,2.74675132820515e-07
士林區B0962,2,5.76256618540091e-06,14,-0.9999995187852825
士林區B0971,1,6.47168813525517e-06,29,-0.9999996381870387
士林區B0975,2,2.508455226879365e-07,3,1.5037877535035816e-07
士林區B0994,0,1.559568858295097e-05,1,6.980784335791789e-08
士林區B0998,8,4.1977174067319586e-07,2,1.6265463234037115e-07
士林區B1000,2,1.7948179869738623e-06,4,1.3700232441512254e-07
士林區B1033,0,4.072461398901906e-05,8,1.639563288038426e-07
士林區B1038,0,3.5282628457541635e-05,4,5.105933164599774e-08
士林區B1043,1,1.7008023426072253e-06,1,1.3899291660006545e-07
士林區B1044,2,9.492169351120123e-06,15,1.1228575596142718e-07
士林區B1046,0,3.032926532732362e-05,13,7.66516307649889e-08
士林區B1055,0,4.4841147385851157e-05,5,1.5286867578774972e-07
士林區B1056,2,1.1427328595378273e-06,33,1.8577788171908346e-07
士林區B1071,0,2.017612023981331e-05,1,5.854675686471502e-08
士林區B1074,0,3.8830696727690996e-05,2,-0.9999999397547397
士林區B800,2,2.508455226879365e-07,3,1.5037877535035816e-07
大同區B0639,1,5.287868485186874e-06,35,3.4473882599962903e-07
大同區B0657,0,2.2177126864756725e-05,35,2.49320573983249e-07
大同區B0688,1,1.0242091127134977e-05,24,2.2253216035598716e-07
大同區B0690,0,4.1087027065655145e-05,71,4.674869392479851e-07
大同區B0694,0,1.4216281276310553e-05,6,5.7735809297015164e-08
大同區B0709,1,2.09220315904559e-06,19,-1.9999998432951278
