district,rooftopsNearby,closestRooftop,featuresCount,area,CurrentValue 2014,CurrentValue 2015,CurrentValue 2016,CurrentValue 2017,CurrentValue 2018
中山區B0919,3,178.56652587542618,9,1097.8227842536696,0,0,0,3618000,4032000
中山區B0927,1,261.27383920810985,23,3472.1873367851945,0,0,0,7404000,7306000
中山區B0929,3,190.05557595225898,14,1682.4000149430292,0,0,0,8821516,8655316
中山區B0930,5,71.50199336743583,6,1213.1922687390215,0,0,0,1768536,1732536
中山區B0945,0,329.1814060415456,3,2540.349717170672,0,0,0,957000,941000
中山區B0955,0,302.4782642870094,12,3475.7614036388127,0,0,0,3636000,3564000
中山區B0957,0,306.364432982514,4,744.1016394095362,0,0,0,2568908,2534049
中山區B0979,2,73.52477993548355,6,1618.2206442591696,0,0,0,2090437,2051625
中山區B0982,6,95.55483648072504,9,1209.0887019194952,0,0,0,5412670,5305622
中山區B0983,3,95.18002944502597,12,1086.7557926533914,0,0,0,3886000,3812000
中山區B0984,7,169.91996460710703,15,1134.7935483842348,0,0,0,4800145,4710145
中山區B0988,6,31.08687226381935,7,1496.7083282227331,0,0,0,4057531,3981127
中山區B0991,3,138.10865689591435,12,1855.3945790904645,0,0,0,7863458,7709928
中山區B0995,0,301.86546376096004,14,1714.631552787424,0,0,0,5092133,5000447
中山區B1004,4,37.00188322201877,42,3771.055957890001,0,0,0,12707616,12455616
中山區B1021,1,229.90082392612808,5,3079.7625391357788,0,0,0,1619643,1590240
中山區B1022,8,85.0619556168444,16,1974.2237151597733,0,0,0,5432454,5341364
中山區B1023,0,329.1814060415456,3,2540.349717170672,0,0,0,957000,941000
中山區B1026,0,329.1814060415456,3,2540.349717170672,0,0,0,957000,941000
中山區B1035,3,188.757877592306,12,1091.771136096809,0,0,0,4020000,3960000
中山區B1041,5,190.67893413957282,12,1598.025320849988,0,0,0,5580140,5480778
中山區B1042,4,13.623845113674777,39,4637.60003960392,0,0,0,11514245,11286245
中山區B1045,3,41.357829305856846,18,2894.485655145497,0,0,0,7785959,7645242
中山區B1048,2,136.64469875727724,1,815.5381056081351,0,0,0,380036,373543
中山區B1064,1,215.9730739932684,5,779.4768444854437,0,0,0,1635000,1600000
中山區B1069,0,313.3153185324873,7,1430.5747545362394,0,0,0,2121000,2079000
中山區B1076,3,188.56342984437663,2,904.7041470467695,0,0,0,879099,866589
中山區B1078,4,171.9679174089791,12,1463.2353457505258,0,0,0,4214011,4160509
中山區B2017,6,217.28989359470242,2,1075.7083427098987,0,0,0,1374394,1347534
中山區B2018,1,103.49122271724478,1,528.8106370277077,0,0,0,511941,500641
中正區B0612,3,56.58633196548642,20,2409.4707376152082,0,0,0,11296020,11090976
中正區B0621,1,274.7433714989729,17,2198.2394056064954,0,0,0,4088599,4043895
中正區B0627,4,71.30581923240868,22,1201.0515646080155,0,0,0,4488000,4179000
中正區B0633,1,76.61806401414553,6,816.8697781466371,0,0,0,1706651,1682651
中正區B0658,1,103.27699237976641,18,2101.6683794180663,0,0,0,12447107,12153652
中正區B0662,2,178.12364241363332,3,1453.4627217403604,0,0,0,1813986,1791046
中正區B0664,1,185.5187069894576,25,1243.5150445768902,0,0,0,7732000,8150000
中正區B0714,3,94.54636932690863,1,239.121786025159,0,0,0,927899,918278
中正區B0751,3,116.64501190104215,18,2494.352387397858,0,0,0,9701454,9564930
中正區B0755,2,217.51551924693212,7,735.8702583140762,0,0,0,2803109,2839504
中正區B0770,0,579.1330500115964,1,2099.233044754735,0,0,0,420065,416731
中正區B0782,1,68.29084865145018,23,1286.9219180353962,0,0,0,10281000,10189000
中正區B0783,3,187.96993700314053,35,2778.920860599484,0,0,0,20654205,20408532
中正區B0805,0,304.33140032105644,15,1679.6222909686076,0,0,0,5750053,5713971
中正區B0834,1,80.73825053730212,16,3955.754199282765,0,0,0,4320000,4256000
中正區B0844,4,175.40516751159785,16,1731.7726677845346,0,0,0,8155434,8041013
中正區B0851,3,117.0000441280893,5,150.8118520897617,0,0,0,3080000,3040000
中正區B0866,2,215.50423436822837,7,2267.8495166904604,0,0,0,3024000,2982000
中正區B0867,1,275.6612572443547,13,1747.1345289823996,0,0,0,3074825,3037279
中正區B0883,1,76.61806401414553,6,816.8697781466371,0,0,0,1706651,1682651
中正區B0905,3,140.39852875505724,47,4767.876121202063,0,0,0,16445318,16237347
中正區B0928,1,280.7166559685792,4,1079.9644846790738,0,0,0,1780505,1755840
中正區B0933,0,396.454278381495,6,1065.675214339147,0,0,0,1836642,1845231
中正區B0938,0,302.96205950959177,14,964.8753986668843,0,0,0,9230119,9137203
中正區B0952,0,542.093113904331,9,2194.319160283847,0,0,0,3888000,3834000
中正區B0964,0,310.9178617151261,12,3575.97686703921,0,0,0,5184000,5112000
中正區B0978,0,503.48243549477735,9,1020.1876142916408,0,0,0,3785532,4044113
中正區B0980,0,727.329298130953,28,2087.7530114741594,0,0,0,22306791,22086852
中正區B0989,0,349.65144807779916,21,1278.7986842790135,0,0,0,9448925,9374453
中正區B0992,0,718.7515747124098,3,1542.9219982570887,0,0,0,2494881,2472272
中正區B0997,1,220.57126602273368,5,2542.497927877379,0,0,0,1350000,1330000
中正區B1008,0,438.6931722159108,24,1270.9460715306595,0,0,0,10202645,10065899
中正區B1013,0,353.65569342427744,20,1177.2911207057844,0,0,0,4383156,4358945
中正區B1030,0,471.2629358565288,10,1579.9480827556522,0,0,0,4320000,4260000
中正區B1031,0,368.6302477277336,3,961.8102116482562,0,0,0,1599417,1580774
中正區B1047,0,324.89058112202997,3,1087.6696493652562,0,0,0,842815,830815
中正區B669,0,503.48243549477735,9,1020.1876142916408,0,0,0,3785532,4044113
內湖區B0506,1,254.13116005862722,1,768.7163561055032,0,0,0,223000,229000
內湖區B0507,0,369.699377072273,67,4501.808107004769,0,0,0,10239000,9971000
內湖區B0560,4,179.09712006958455,7,1835.8161821511285,0,0,0,1491000,1470000
內湖區B0613,0,526.6733378800798,1,1424.3744385707969,0,0,0,166000,162000
內湖區B0698,0,612.045234055656,1,1743.1598237286835,0,0,0,410000,402000
內湖區B0727,1,142.28175042989432,10,1124.108621110943,0,0,0,3205200,3146400
內湖區B0728,2,225.0840972709184,11,3061.5251677309334,0,0,0,2153000,2123000
內湖區B0762,0,355.5207985614064,4,2859.4664474925853,0,0,0,1091291,1074242
內湖區B0765,0,424.41303225681236,2,3849.375706256856,0,0,0,332000,324000
內湖區B0789,0,415.1948830752575,21,6378.926536348979,0,0,0,2596200,2560200
內湖區B0793,2,219.62178980782284,19,1104.0791707751482,0,0,0,8153767,7986537
