district,rooftopsNearby,closestRooftop,featuresCount,area,CurrentValue 2014,CurrentValue 2015,CurrentValue 2016,CurrentValue 2017,CurrentValue 2018,ndvi 2013,greeniness 2013,dmap 2013,ndvi 2014,greeniness 2014,dmap 2014,ndvi 2015,greeniness 2015,dmap 2015,ndvi 2017,greeniness 2017,dmap 2017,ndvi 2016,greeniness 2016,dmap 2016,date,year,e-year
大安區B0745,3,135.86001181602347,7,868.0021182529582,0,0,0,3307301,3244753,0.2042820155620575,0.3292697716724584,0.12256921082735063,0.20731393992900848,0.3293957133194953,0.13149940967559814,0.2671968638896942,0.1910441495440446,0.15759031474590302,0.3232455551624298,0.2054877906569956,0.14545559883117676,0.295221209526062,0.1982659701005201,0.15152296423912048,102.7.5,102,2013
大安區B0753,1,133.42621082681788,6,2081.583256481637,0,0,0,3348000,3246000,0.18982671201229093,0.3142850479277935,0.1794411987066269,0.1924225091934204,0.3091820789700772,0.17799052596092224,0.2260139435529709,0.34953938008722624,0.20266109704971316,0.1437717229127884,0.10010728362525363,0.15368612110614774,0.18489283323287964,0.22482333185623996,0.17817360162734985,102.8.23,102,2013
大安區B0760,1,283.5517428212218,7,3979.810918825649,0,0,0,2667000,2625000,0.1519579291343689,0.5590782937239079,0.2139585316181183,0.15670405328273773,0.5525060055507615,0.213613361120224,0.20266343653202054,0.22045852088532314,0.240301325917244,0.3004221320152283,0.12582270214800476,0.32981786131858826,0.2515427768230438,0.17314061151666393,0.2850596010684967,102.9.13,102,2013
大安區B0766,0,412.96737737091337,10,1909.2805085800733,0,0,0,5027782,4942488,0.20169322192668915,0.466471534855517,0.1932457983493805,0.20564638078212735,0.4623224572614688,0.1943979263305664,0.17197798192501068,0.3730508197868321,0.16945216059684753,0.1207803711295128,0.3678452317093081,0.1773328334093094,0.14637917280197146,0.3704480257480701,0.17339250445365906,102.9.18,102,2013
大安區B0769,0,461.17161802964415,31,2310.029017699703,0,0,0,16146430,15670338,0.25968468189239496,0.4000466450544581,0.21253353357315066,0.26206356287002563,0.3976397602444201,0.2172563374042511,0.2547706365585327,0.446278890780605,0.21560977399349213,0.2856636345386505,0.3264664038995266,0.19253212213516235,0.2702171206474304,0.3863726473400658,0.20407095551490784,102.9.25,102,2013
大安區B0778,1,244.45630213172316,16,1331.5619829453865,0,0,0,6208000,6128000,0.2060498595237732,0.3700935233341885,0.1600555032491684,0.20854537189006805,0.3674464164936913,0.1580241173505783,0.4161485135555267,0.2986589546843296,0.3612939417362213,0.2290552109479904,0.4068265037199431,0.2592392265796661,0.322601854801178,0.35274272920213634,0.3102665841579437,102.10.14,102,2013
大安區B0787,0,475.2515152239202,3,679.3267888573944,0,0,0,1155000,1119000,0.27198031544685364,0.3838771369265573,0.2479137927293777,0.2729901671409607,0.3834643281946032,0.2503416836261749,0.18810784816741946,0.4561863003475057,0.17671245336532593,0.3174452483654022,0.2402430207337267,0.2650372087955475,0.25277656316757197,0.3482146605406162,0.2208748310804367,102.10.29,102,2013
大安區B0790,1,293.3760460872631,26,2494.360290335327,0,0,0,7281034,7072102,0.17989131808280945,0.4538237283392028,0.20616647601127625,0.18280430138111115,0.4478298388413369,0.20845675468444824,0.2679618299007416,0.3403666301280407,0.22301234304904935,0.2743545472621918,0.3818130932667864,0.17994728684425354,0.2711581885814667,0.3610898616974135,0.20147982239723208,102.11.1,102,2013
大安區B0796,4,221.6566296525357,1,1102.4369033518826,0,0,0,906292,886411,0.4535858333110809,0.4991697180306458,0.5007789731025696,0.4557618200778961,0.4958789094386268,0.5013620257377625,0.3964479863643646,0.3931688317746111,0.4963290393352509,0.2491429001092911,0.3237236746973902,0.4318958818912506,0.32279545068740845,0.35844625323600066,0.4641124606132507,102.11.7,102,2013
大安區B0797,3,137.60185522640623,11,2052.1111604897333,0,0,0,5473798,5297798,0.1512535810470581,0.5137696200760314,0.19570866227149966,0.15349021553993225,0.5114723511439699,0.19691675901412964,0.2427968382835388,0.23393894162371434,0.2806563079357147,0.2347459048032761,0.19940994006110505,0.2655152976512909,0.23877137899398804,0.21667444084240967,0.2730858027935028,102.11.7,102,2013
