idx,sec,addr,Address,Lat,Lng
103,大安區,敦化南路一段177巷21號,大安區敦化南路一段177巷21號,25.0431068,121.5504868
104,南港區,興中路80巷9號,南港區興中路80巷9號,25.0575528,121.6062349
105,文山區,景華街92號,文山區景華街92號,24.9949579,121.5457
106,文山區,福興路82巷3弄13號,文山區福興路82巷3弄13號,25.006649,121.550671
107,松山區,敦化北路4巷25弄9號,松山區敦化北路4巷25弄9號,25.0497474,121.5462829
108,萬華區,環河南路二段280巷10號,萬華區環河南路二段280巷10號,25.032843,121.490466
109,大安區,基隆路二段150號,大安區基隆路二段150號,25.0279309,121.5562691
110,文山區,景華街97巷4號,文山區景華街97巷4號,24.9957089,121.5464007
111,松山區,延吉街29號,松山區延吉街29號,25.0460055,121.5536806
112,松山區,南京東路五段29號,松山區南京東路五段29號,25.0517567,121.5581844
113,士林區,忠誠路二段21巷35號,士林區忠誠路二段21巷35號,25.1098243,121.5323902
114,中山區,龍江路271巷5號,中山區龍江路271巷5號,25.0595488,121.5411837
115,大安區,和平東路一段11巷11之3號,大安區和平東路一段11巷11之3號,25.028314,121.52269
116,信義區,松山路119巷20號,信義區松山路119巷20號,25.047308,121.57917
117,南港區,忠孝東路六段263號,南港區忠孝東路六段263號,25.0497676,121.5894624
118,南港區,忠孝東路六段265號,南港區忠孝東路六段265號,25.049812,121.5895079
119,大安區,富陽街142號,大安區富陽街142號,25.0188528,121.5566371
120,中山區,大直街21巷10號,中山區大直街21巷10號,25.0816574,121.5473774
121,文山區,秀明路二段92巷9號,文山區秀明路二段92巷9號,24.991083,121.576018
122,內湖區,內湖路一段411巷9弄28號,內湖區內湖路一段411巷9弄28號,25.0821964,121.5718978
123,信義區,吳興街600巷76弄139號,信義區吳興街600巷76弄139號,25.0170669,121.569494
124,信義區,忠孝東路五段743巷21弄8號,信義區忠孝東路五段743巷21弄8號,25.043979,121.580557
125,松山區,八德路二段437巷2弄11號,松山區八德路二段437巷2弄11號,25.0486438,121.5463851
126,大安區,仁愛路四段18號,大安區仁愛路四段18號,25.0376323,121.5463534
127,中山區,吉林路161巷5之1號,中山區吉林路161巷5之1號,25.0590367,121.5311057
128,南港區,成福路65之1號,南港區成福路65之1號,25.043501,121.586936
129,內湖區,金龍路17號,內湖區金龍路17號,25.084686,121.594716
130,中山區,天祥路24號,中山區天祥路24號,25.0611924,121.5209373
131,中山區,中山北路二段137巷33號,中山區中山北路二段137巷33號,25.0618492,121.5248009
132,松山區,南京東路三段256巷20弄4號,松山區南京東路三段256巷20弄4號,25.050627,121.544869
133,信義區,忠孝東路五段715號,信義區忠孝東路五段715號,25.042717,121.580393
134,松山區,基隆路一段18號,松山區基隆路一段18號,25.0502934,121.5697772
135,松山區,基隆路一段20號,松山區基隆路一段20號,25.0502733,121.5697652
136,大安區,安居街98巷18號,大安區安居街98巷18號,25.0193981,121.5522084
137,信義區,福德街214號,信義區福德街214號,25.0384489,121.5843668
138,中山區,農安街180號,中山區農安街180號,25.064544,121.5349002
139,松山區,八德路四段72巷10弄1號,松山區八德路四段72巷10弄1號,25.0471579,121.5601302
140,士林區,小西街2之1號,士林區小西街2之1號,25.088977,121.5238011
141,松山區,南京東路四段53巷5弄2號,松山區南京東路四段53巷5弄2號,25.052675,121.5510223
142,內湖區,內湖路一段597號,內湖區內湖路一段597號,25.0809384,121.5735203
143,萬華區,環河南路二段304號,萬華區環河南路二段304號,25.031218,121.490414
144,中正區,金門街11巷2之1號,中正區金門街11巷2之1號,25.0216021,121.5236211
145,中正區,汀州路三段188號,中正區汀州路三段188號,25.0127646,121.5349804
146,信義區,永吉路180巷66弄28號,信義區永吉路180巷66弄28號,25.0433809,121.570452
147,松山區,延吉街10巷2號,松山區延吉街10巷2號,25.047282,121.5532376
148,信義區,永吉路187巷6弄14號,信義區永吉路187巷6弄14號,25.046518,121.573367
149,信義區,大道路85號,信義區大道路85號,25.040531,121.582726
150,中山區,華陰街3號,中山區華陰街3號,25.0491077,121.5206825
151,信義區,松山路393巷13號,信義區松山路393巷13號,25.042058,121.578761
152,信義區,中坡南路233號,信義區中坡南路233號,25.0404913,121.5849906
153,信義區,基隆路二段52號,信義區基隆路二段52號,25.0314537,121.558367
154,內湖區,陽光街92巷14弄4號,內湖區陽光街92巷14弄4號,25.0755036,121.5854603
155,松山區,延吉街48巷22號,松山區延吉街48巷22號,25.0450502,121.5526893
156,內湖區,瑞光路285號,內湖區瑞光路285號,25.0755298,121.5765473
157,松山區,南京東路五段389巷11弄1號,松山區南京東路五段389巷11弄1號,25.0525075,121.5694162
158,士林區,社中街226號,士林區社中街226號,25.091371,121.5081314
159,松山區,健康路116號,松山區健康路116號,25.053411,121.555763
160,大安區,龍泉街65號,大安區龍泉街65號,25.0230972,121.5293629
161,文山區,恆光街17巷13之1號,文山區恆光街17巷13之1號,24.9842393,121.5668707
162,南港區,中南街47號,南港區中南街47號,25.0538204,121.6153297
163,北投區,新市街29號,北投區新市街29號,25.1320612,121.5019323
164,松山區,民生東路四段97巷2弄24號,松山區民生東路四段97巷2弄24號,25.058478,121.553656
165,中山區,龍江路271巷14號,中山區龍江路271巷14號,25.057486,121.541595
166,士林區,福港街18巷4號,士林區福港街18巷4號,25.091081,121.517904
167,大安區,敦化南路一段161巷62號,大安區敦化南路一段161巷62號,25.0433401,121.5521453
168,信義區,永吉路30巷119弄15號,信義區永吉路30巷119弄15號,25.0432331,121.5695454
169,文山區,仙岩路58巷3號,文山區仙岩路58巷3號,24.999314,121.549821
170,中山區,錦州街314號,中山區錦州街314號,25.0601572,121.537737
